Municipalities;Total;Male;Female
Bansko;12854;6249;6605
Belitsa;9762;4761;5001
Blagoevgrad;76910;36895;40015
Gotse Delchev;30768;15114;15654
Garmen;14853;7359;7494
Kresna;5540;2806;2734
Petrich;53008;26158;26850
Razlog;20222;9916;10306
Sandanski;39509;19351;20158
Satovcha;14970;7470;7500
Simitli;13965;7007;6958
Strumyani;5514;2694;2820
Hadzhidimovo;9740;4941;4799
Yakoruda;10495;5159;5336
Aytos;28440;13883;14557
Burgas;211764;102355;109409
Kameno;10217;5106;5111
Karnobat;24516;11925;12591
Malko Tarnovo;3699;1774;1925
Nesebar;24481;12184;12297
Pomorie;27611;13570;14041
Primorsko;6030;2990;3040
Ruen;28650;14485;14165
Sozopol;12634;6249;6385
Sredets;14867;7311;7556
Sungurlare;12123;5943;6180
Tsarevo;9453;4669;4784
Avren;8681;4337;4344
Aksakovo;20583;10185;10398
Beloslav;10860;5433;5427
Byala;3266;1659;1607
Varna;344663;167472;177191
Vetrino;5137;2511;2626
Valchi Dol;9771;4865;4906
Devnya;8716;4346;4370
Dolni Chiflik;19129;9453;9676
Dalgopol;13951;6975;6976
Provadia;22057;11003;11054
Suvorovo;7262;3623;3639
Veliko Tarnovo;88278;42245;46033
Gorna Oryahovitsa;44946;21779;23167
Elena;9116;4444;4672
Zlataritsa;3882;1932;1950
Lyaskovets;12890;6180;6710
Pavlikeni;22810;11091;11719
Polski Trambesh;13724;6722;7002
Svishtov;40602;19599;21003
Strazhitsa;12444;6164;6280
Suhindol;2434;1159;1275
Belogradchik;6294;3104;3190
Boynitsa;1169;525;644
Bregovo;5245;2640;2605
Vidin;60222;29303;30919
Gramada;1860;913;947
Dimovo;6126;3024;3102
Kula;4345;2090;2255
Makresh;1456;714;742
Novo Selo;2789;1329;1460
Ruzhintsi;4034;1969;2065
Chuprene;1927;948;979
Borovan;5523;2780;2743
Byala Slatina;23588;11609;11979
Vratsa;70395;34483;35912
Kozloduy;20627;10183;10444
Krivodol;9023;4460;4563
Mezdra;20596;10086;10510
Mizia;7125;3526;3599
Oryahovo;10841;5349;5492
Roman;5920;2978;2942
Hayredin;4757;2349;2408
Gabrovo;62945;30401;32544
Dryanovo;9350;4469;4881
Sevlievo;34698;16872;17826
Tryavna;11278;5452;5826
Balchik;20112;10029;10083
General Toshevo;14389;7082;7307
Dobrich;21265;10661;10604
Dobrich town;88807;42807;46000
Kavarna;14942;7236;7706
Krushari;4435;2260;2175
Tervel;15846;7956;7890
Shabla;4884;2397;2487
Ardino;11286;5614;5672
Dzhebel;8163;4107;4056
Kirkovo;21304;10685;10619
Krumovgrad;17269;8709;8560
Kardzhali;67288;32860;34428
Momchilgrad;15949;8064;7885
Chernoochene;9346;4767;4579
Bobovdol;8490;4484;4006
Boboshevo;2682;1277;1405
Dupnitsa;43263;20899;22364
Kocherinovo;4863;2334;2529
Kyustendil;57950;27996;29954
Nevestino;2469;1227;1242
Rila;2755;1352;1403
Sapareva Banya;7216;3580;3636
Treklyano;613;315;298
Apriltsi;3158;1520;1638
Letnitsa;3634;1791;1843
Lovech;47494;23256;24238
Lukovit;17446;8621;8825
Teteven;20585;10177;10408
Troyan;31008;15000;16008
Ugarchin;6163;2998;3165
Yablanitsa;6092;3038;3054
Berkovitsa;17912;8718;9194
Boychinovtsi;8799;4373;4426
Brusartsi;4795;2401;2394
Valchedram;9382;4584;4798
Varshets;7810;3802;4008
Georgi Damyanovo;2560;1296;1264
Lom;27140;13159;13981
Medkovets;3742;1833;1909
Montana;51774;25520;26254
Chiprovtsi;3462;1704;1758
Yakimovo;4220;2072;2148
Batak;5830;2902;2928
Belovo;8522;4161;4361
Bratsigovo;9246;4572;4674
Velingrad;40148;19482;20666
Lesichovo;5382;2649;2733
Pazardzhik;112373;55213;57160
Panagyurishte;24333;12016;12317
Peshtera;18597;9104;9493
Rakitovo;14961;7432;7529
Septemvri;25207;12575;12632
Strelcha;4688;2269;2419
Breznik;6581;3238;3343
Zemen;2582;1275;1307
Kovachevtsi;1582;805;777
Pernik;93890;45675;48215
Radomir;19985;9873;10112
Tran;4076;2049;2027
Belene;9667;5135;4532
Gulyantsi;11584;5665;5919
Dolna Mitropolia;19294;9410;9884
Dolni Dabnik;11262;5482;5780
Iskar;6574;3288;3286
Knezha;13238;6531;6707
Levski;19144;9364;9780
Nikopol;8835;4394;4441
Pleven;126972;61474;65498
Pordim;6085;2979;3106
Cherven Bryag;26708;13281;13427
Asenovgrad;63052;30503;32549
Brezovo;6993;3404;3589
Kaloyanovo;11478;5656;5822
Karlovo;51117;24724;26393
Krichim;8253;4085;4168
Kuklen;6344;3072;3272
Laki;2790;1376;1414
Maritsa;32008;15928;16080
Perushtitsa;4960;2417;2543
Plovdiv;341041;162664;178377
Parvomay;25108;12117;12991
Rakovski;26040;12843;13197
Rodopi;31731;15482;16249
Sadovo;15225;7549;7676
Sopot;9592;4656;4936
Stamboliyski;20332;9927;10405
Saedinenie;10204;5015;5189
Hisarya;11929;5709;6220
Zavet;10201;5091;5110
Isperih;21777;10813;10964
Kubrat;17494;8540;8954
Loznitsa;9013;4508;4505
Razgrad;49424;23728;25696
Samuil;6779;3446;3333
Tsar Kaloyan;5906;2910;2996
Borovo;5798;2825;2973
Byala;12863;6365;6498
Vetovo;12009;5958;6051
Dve Mogili;8897;4412;4485
Ivanovo;9042;4460;4582
Ruse;165184;80223;84961
Slivo Pole;10437;5103;5334
Tsenovo;5554;2784;2770
Alfatar;2892;1476;1416
Glavinitsa;10553;5204;5349
Dulovo;28077;13986;14091
Kaynardzha;5102;2605;2497
Silistra;49437;24089;25348
Sitovo;5197;2626;2571
Tutrakan;14780;7351;7429
Kotel;19003;9376;9627
Nova Zagora;38142;18635;19507
Sliven;123122;59737;63385
Tvarditsa;13658;6826;6832
Banite;4648;2217;2431
Borino;3447;1736;1711
Devin;12234;5952;6282
Dospat;8740;4319;4421
Zlatograd;11759;5677;6082
Madan;11871;5851;6020
Nedelino;6727;3290;3437
Rudozem;9714;4809;4905
Smolyan;39753;19190;20563
Chepelare;7325;3581;3744
Sofia;1309634;625702;683932
Anton;1510;743;767
Bozhurishte;8466;4120;4346
Botevgrad;32587;15944;16643
Godech;5140;2594;2546
Gorna Malina;6115;3092;3023
Dolna Banya;4497;2208;2289
Dragoman;5147;2524;2623
Elin Pelin;22463;11091;11372
Etropole;11679;5751;5928
Zlatitsa;5649;2761;2888
Ihtiman;17609;8755;8854
Koprivshtitsa;2287;1115;1172
Kostenets;12224;5969;6255
Kostinbrod;17336;8478;8858
Mirkovo;2420;1207;1213
Pirdop;8062;3948;4114
Pravets;7510;3801;3709
Samokov;36963;17954;19009
Svoge;21252;10509;10743
Slivnitsa;9256;4608;4648
Chavdar;1234;617;617
Chelopech;1471;736;735
Bratya Daskalovi;8304;4186;4118
Gurkovo;5050;2521;2529
Galabovo;12837;6393;6444
Kazanlak;71043;34437;36606
Maglizh;10000;4960;5040
Nikolaevo;4452;2197;2255
Opan;2731;1354;1377
Pavel Banya;13873;6712;7161
Radnevo;19492;9671;9821
Stara Zagora;159662;77228;82434
Chirpan;20660;10078;10582
Antonovo;5903;3033;2870
Omurtag;21614;10743;10871
Opaka;6431;3242;3189
Popovo;27688;13414;14274
Targovishte;56083;27312;28771
Dimitrovgrad;51531;25125;26406
Ivaylovgrad;6131;3046;3085
Lyubimets;9879;4926;4953
Madzharovo;1734;881;853
Mineralni Bani;5891;2976;2915
Svilengrad;22774;11209;11565
Simeonovgrad;8394;4126;4268
Stambolovo;5856;2956;2900
Topolovgrad;10831;5363;5468
Harmanli;24201;11956;12245
Haskovo;92090;44355;47735
Veliki Preslav;13060;6428;6632
Venets;7054;3542;3512
Varbitsa;10252;5175;5077
Kaolinovo;12298;6230;6068
Kaspichan;7817;3890;3927
Nikola Kozlevo;6093;3055;3038
Novi Pazar;16680;8130;8550
Smyadovo;6386;3111;3275
Hitrino;6250;3159;3091
Shumen;92171;44390;47781
Bolyarovo;3938;1917;2021
Elhovo;15523;7696;7827
Straldzha;12426;6210;6216
Tundzha;23130;11505;11625
Yambol;72159;35143;37016
